"gene","samplename","normalized_counts","group"
"ENSG00000228437","TCGA-SY-A9G0-01A-12R-A38B-07",5.12621956267543,"Tumor"
"ENSG00000229035","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000233532","TCGA-SY-A9G0-01A-12R-A38B-07",4.459213522207,"Tumor"
"ENSG00000237412","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000250920","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000266976","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000269586","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-FD-A3SO-01A-11R-A22U-07",4.35177047426992,"Tumor"
"ENSG00000123500","TCGA-FD-A3SO-01A-11R-A22U-07",11.7578454015233,"Tumor"
"ENSG00000126890","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000145321","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-FD-A3SO-01A-11R-A22U-07",4.23069253746447,"Tumor"
"ENSG00000163586","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-FD-A3SO-01A-11R-A22U-07",14.2803166114691,"Tumor"
"ENSG00000170373","TCGA-FD-A3SO-01A-11R-A22U-07",9.86514397466411,"Tumor"
"ENSG00000171560","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000171564","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000181433","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
"ENSG00000184330","TCGA-FD-A3SO-01A-11R-A22U-07",11.0030403235218,"Tumor"
"ENSG00000185479","TCGA-FD-A3SO-01A-11R-A22U-07",13.8185437200408,"Tumor"
"ENSG00000186847","TCGA-FD-A3SO-01A-11R-A22U-07",15.3219471945373,"Tumor"
"ENSG00000187172","TCGA-FD-A3SO-01A-11R-A22U-07",3.68320245492119,"Tumor"
